funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
1500000.0,operating,MUS,Ebène,1,2014-05-27,2014-05-27,2006,1,Agriculture,1
94000000.0,operating,USA,Orlando,4,2012-02-01,2015-08-21,2002,1,Software,1
,operating,USA,San Francisco,1,2015-03-23,2015-03-23,2012,1,Finance,3
25000.0,operating,USA,Pittsburgh,2,2013-06-04,2015-04-01,2011,1,Health and Wellness,0
5800000.0,operating,USA,Boston,1,2015-11-16,2015-11-16,2012,1,Electronics,1
15000000.0,acquired,USA,Redwood Shores,3,2004-02-17,2006-04-05,2000,2,Software,1
248250.0,closed,USA,Boulder,2,2015-01-01,2015-05-14,2015,0,Information Technology,0
68839.0,operating,ITA,Lomazzo,1,2014-01-01,2014-01-01,2014,1,Incubators,0
,operating,DNK,Copenhagen,1,2013-11-29,2013-11-29,2012,1,Software,3
14000000.0,closed,USA,Mountain View,2,2006-01-01,2009-04-02,2012,0,Auctions,1
12100000.0,operating,USA,San Francisco,2,2007-06-19,2008-01-28,1999,1,Web Hosting,1
15500000.0,operating,USA,King Of Prussia,3,2011-09-23,2013-10-09,2004,1,Cloud Management,1
250000.0,closed,USA,Albuquerque,1,2011-09-01,2011-09-01,2011,0,Automotive,0
887303.0,operating,KOR,Seoul,1,2012-01-26,2012-01-26,2011,1,Android,0
5906514.0,operating,USA,San Antonio,7,2012-10-10,2015-11-23,2012,1,B2B,1
3000000.0,operating,USA,Allendale,1,2008-03-28,2008-03-28,1979,1,Food Processing,1
,operating,ESP,Barcelona,1,2010-09-16,2010-09-16,2012,1,Carbon,3
4430000.0,operating,FRA,Grenoble,1,2009-03-06,2009-03-06,2005,1,Biotechnology,1
5460000.0,operating,FRA,Clapiers,1,2008-12-02,2008-12-02,1984,1,Hardware + Software,1
25661688.0,operating,USA,San Francisco,7,2007-10-18,2013-02-19,2012,1,Software,1
13000000.0,operating,USA,Sunnyvale,1,2006-04-15,2006-04-15,2006,1,Content,1
19000.0,closed,USA,Lawrenceville,1,2012-04-19,2012-04-19,2012,0,E-Commerce,0
4450000.0,operating,GBR,San Francisco,2,2005-04-04,2008-06-23,2012,1,Software,1
100000.0,operating,USA,Chicago,1,2013-02-04,2013-02-04,2012,1,E-Commerce,0
50000.0,closed,RUS,Krasnoyarsk,1,2013-03-08,2013-03-08,2012,0,Consumers,0
,operating,USA,San Bruno,1,1999-11-30,1999-11-30,2012,1,Software,3
1200000.0,operating,USA,Durham,1,2015-02-06,2015-02-06,2013,1,Real Estate,1
11200000.0,operating,USA,Boston,3,2005-11-01,2009-12-16,2001,1,Software,1
1465000.0,operating,USA,Ann Arbor,2,2009-10-05,2013-02-05,2010,1,Biotechnology,1
131750000.0,operating,USA,Austin,5,2010-08-16,2012-10-09,2008,1,Application Platforms,2
1349142.0,operating,USA,Clarkton,1,2013-02-26,2013-02-26,2011,1,Software,1
1530625.0,operating,ITA,Naples,2,2012-08-03,2014-03-20,2012,1,Crowdfunding,1
,closed,USA,Glendale,1,2012-06-29,2012-06-29,2012,0,Games,3
16000000.0,ipo,CAN,Montréal,1,2011-08-08,2011-08-08,2006,2,Manufacturing,1
22000000.0,operating,USA,Cambridge,2,2013-01-01,2014-02-24,2012,1,Health and Wellness,1
2000000.0,operating,USA,Tucson,1,2013-07-23,2013-07-23,2013,1,Chat,1
809911.0,operating,USA,Austin,1,2015-10-02,2015-10-02,2011,1,Enterprise Software,0
48000.0,operating,CAN,Vancouver,1,2013-10-24,2013-10-24,2013,1,Curated Web,0
41600000.0,acquired,THA,Bangkok,4,2010-07-01,2015-04-20,2009,2,E-Commerce,1
4000000.0,operating,USA,Cambridge,3,2012-06-27,2015-08-15,2011,1,Advertising,1
800000.0,operating,USA,New York,1,2015-05-11,2015-05-11,2012,1,Software,0
,operating,USA,San Francisco,1,2014-02-06,2014-02-06,2013,1,Mobile,3
,operating,ITA,Florence,1,2013-05-10,2013-05-10,2012,1,Software,3
250000000.0,operating,USA,Fort Mill,3,2010-08-12,2015-01-07,2000,1,Advertising,2
1000000.0,operating,IND,Haryana,1,2015-07-24,2015-07-24,2014,1,Apps,0
300000.0,closed,USA,San Francisco,1,2006-11-20,2006-11-20,2006,0,Software,0
400000.0,closed,USA,San Francisco,1,2013-09-01,2013-09-01,2013,0,Pets,0
200000.0,closed,USA,Los Angeles,1,2012-03-01,2012-03-01,2012,0,Fashion,0
17950000.0,operating,ISR,Yavne,6,2008-01-30,2014-01-30,2007,1,Clean Technology,1
,operating,GBR,London,2,2010-01-01,2010-09-16,2008,1,Cloud Computing,3
3000000.0,operating,USA,San Francisco,1,2015-06-15,2015-06-15,2013,1,Big Data,1
42450000.0,operating,USA,Santa Clara,5,2004-01-18,2013-03-05,2001,1,Semiconductors,1
42500005.0,operating,USA,Westport,2,2010-11-16,2012-03-19,2001,1,Biotechnology,1
1600000.0,operating,USA,San Francisco,1,2014-11-13,2014-11-13,2012,1,Manufacturing,1
481268.0,operating,USA,San Diego,1,2012-06-06,2012-06-06,2012,1,Biotechnology,0
40000000.0,operating,USA,Houston,1,2008-01-16,2008-01-16,2012,1,Energy,1
,operating,USA,San Francisco,1,2008-05-01,2008-05-01,2012,1,Software,3
290000.0,operating,CHL,Santiago,2,2011-12-16,2012-10-01,2009,1,SaaS,0
,operating,USA,San Francisco,1,2013-12-01,2013-12-01,2012,1,Mobile,3
2000000.0,operating,IND,Bangalore,1,2013-05-29,2013-05-29,2010,1,Software,1
1415000.0,operating,USA,Chicago,2,2014-01-21,2014-03-24,2012,1,Health Care,1
12000000.0,operating,USA,Cambridge,3,2003-09-08,2011-11-29,2001,1,Biotechnology,1
,operating,SWE,Uppsala,1,2013-07-01,2013-07-01,1999,1,Software,3
10000000.0,operating,USA,Brooklyn,1,2011-03-18,2011-03-18,2009,1,Crowdfunding,1
4600000.0,operating,USA,San Francisco,1,2015-11-30,2015-11-30,2012,1,Finance,1
,acquired,DNK,San Francisco,1,2007-04-04,2007-04-04,2007,2,Software,3
1000000.0,operating,USA,New York,2,2011-11-16,2012-04-05,2011,1,Mobile,0
60000.0,operating,USA,Oakland,1,2011-11-01,2011-11-01,2011,1,Advertising,0
100000.0,operating,USA,Dublin,1,2014-12-31,2014-12-31,2013,1,Big Data,0
,operating,NLD,Amersfoort,1,2009-11-04,2009-11-04,1983,1,Information Technology,3
51414039.0,operating,USA,Arlington,5,2010-03-22,2014-07-08,2002,1,Clean Technology,1
,operating,USA,Columbus,1,2014-12-03,2014-12-03,2012,1,Healthcare Services,3
687462.0,operating,USA,Raleigh,1,2015-03-31,2015-03-31,2010,1,Biotechnology,0
80000.0,operating,USA,New York,1,2014-02-04,2014-02-04,2012,1,iOS,0
13343716.0,operating,USA,San Mateo,8,2006-09-11,2015-08-25,2005,1,Cloud Computing,1
6700000.0,operating,USA,Longmont,2,2008-12-01,2010-01-22,2007,1,Flash Storage,1
415000.0,acquired,USA,Boulder,2,2007-08-01,2007-10-23,2007,2,Finance,0
,acquired,ZAF,Johannesburg,1,2009-12-28,2009-12-28,2012,2,Information Technology,3
,operating,USA,San Francisco,1,2014-03-12,2014-03-12,2012,1,Photography,3
3500000.0,operating,USA,San Francisco,1,2013-10-31,2013-10-31,2012,1,Oil and Gas,1
130748.0,operating,ITA,Milan,1,2013-06-05,2013-06-05,2012,1,Flash Sales,0
3700000.0,operating,USA,New York,2,2011-02-23,2014-09-26,2011,1,Entertainment,1
25500000.0,operating,SGP,Singapore,2,2012-11-28,2014-10-15,2012,1,Advertising,1
750000.0,acquired,GBR,Rochester,1,2003-01-01,2003-01-01,2012,2,Security,0
500000.0,operating,USA,Arcata,1,2014-11-05,2014-11-05,2014,1,Bitcoin,0
311203.0,operating,SWE,Stockholm,1,2011-02-02,2011-02-02,2008,1,News,0
360000.0,operating,USA,Los Angeles,1,2013-01-28,2013-01-28,2012,1,Software,0
,operating,USA,Berkeley,1,2011-02-14,2011-02-14,2009,1,Certification Test,3
45000.0,operating,USA,Chicago,1,2013-10-21,2013-10-21,2013,1,Public Relations,0
300000.0,operating,EGY,Gizah,1,2013-12-01,2013-12-01,2013,1,iOS,0
5540000.0,operating,USA,Sunnyvale,3,2004-12-01,2006-05-01,2002,1,Alumni,1
3000000000.0,operating,IND,Mumbai,3,2014-09-25,2015-05-13,2007,1,Development Platforms,2
65885.0,operating,BGR,Sofia,2,2013-05-01,2013-09-01,2013,1,Curated Web,0
,operating,USA,San Francisco,1,2009-12-03,2009-12-03,2012,1,Software,3
20000.0,operating,ARG,Buenos Aires,1,2013-11-19,2013-11-19,2011,1,Travel,0
969471.0,operating,GBR,London,6,2013-01-01,2015-01-01,2012,1,Cloud Computing,0
210000.0,operating,USA,Tucson,2,2015-06-02,2015-06-02,2009,1,Biotechnology,0
31000000.0,acquired,USA,West Des Moines,1,2008-02-26,2008-02-26,2012,2,Education,1
1100000.0,operating,USA,New York,1,2014-05-01,2014-05-01,2014,1,Apps,1
600000.0,operating,USA,Pittsburgh,1,2009-06-22,2009-06-22,1995,1,Software,0
41347.0,operating,USA,San Francisco,1,2014-01-01,2014-01-01,2008,1,Education,0
,operating,USA,San Francisco,1,2013-08-02,2013-08-02,2012,1,Software,3
144400000.0,operating,USA,San Francisco,3,2012-01-19,2014-05-13,2006,1,Cloud Computing,2
637416.0,operating,FRA,Paris,1,2010-06-15,2010-06-15,2007,1,Crowdfunding,0
1500000.0,operating,USA,New York,1,2015-08-12,2015-08-12,2015,1,Financial Services,1
108000000.0,acquired,USA,Kingwood,1,2011-04-27,2011-04-27,1991,2,Health Care,2
25000000.0,operating,USA,Durham,3,2012-01-20,2015-01-14,2011,1,Biotechnology,1
3000000.0,operating,USA,East Palo Alto,1,2015-06-25,2015-06-25,2012,1,Travel & Tourism,1
,operating,DEU,Martinsried,2,2011-06-27,2013-03-08,2007,1,Biotechnology,3
11000000.0,operating,USA,San Jose,1,2007-10-03,2007-10-03,2004,1,Semiconductors,1
811268.0,operating,GBR,Norwich,2,2009-11-29,2010-04-02,2009,1,Curated Web,0
2566676.0,operating,USA,San Diego,1,2013-03-26,2013-03-26,2004,1,Biotechnology,1
3000000.0,operating,USA,San Francisco,1,2013-05-08,2013-05-08,2012,1,Architecture,1
984000.0,acquired,USA,San Francisco,2,2012-01-01,2013-05-15,2012,2,Social Media,0
1700000.0,closed,USA,Los Angeles,1,2011-12-01,2011-12-01,2010,0,Mobile,1
45400000.0,acquired,USA,Austin,6,2006-02-01,2010-11-23,2006,2,Semiconductors,1
235682.0,operating,USA,San Francisco,1,2014-08-04,2014-08-04,2012,1,Education,0
,operating,USA,Las Vegas,1,2013-07-21,2013-07-21,2012,1,Security,3
3000000.0,operating,USA,New York,1,2013-10-02,2013-10-02,2012,1,Price Comparison,1
350000.0,operating,USA,New York,1,2014-10-01,2014-10-01,2014,1,Bitcoin,0
20000.0,operating,POL,Warsaw,1,2015-01-01,2015-01-01,2012,1,Digital Media,0
20000000.0,operating,USA,Columbus,2,2013-04-04,2015-04-13,2012,1,Software,1
500000.0,operating,USA,Providence,1,2011-08-01,2011-08-01,2010,1,E-Commerce,0
200000000.0,closed,USA,Frisco,1,2008-09-10,2008-09-10,2012,0,Web Hosting,2
2400000.0,acquired,USA,Lafayette,3,2012-11-21,2014-05-29,2003,2,Security,1
300000.0,operating,THA,Bangkok,1,2015-04-09,2015-04-09,2013,1,Consumer Goods,0
4500000.0,operating,USA,Los Angeles,1,2015-09-01,2015-09-01,2013,1,Content Delivery,1
300000.0,operating,USA,Los Angeles,1,2014-01-01,2014-01-01,2013,1,Beauty,0
,operating,USA,Faribault,1,2014-09-19,2014-09-19,2005,1,Mobile,3
5010000.0,operating,USA,Raleigh,4,2014-02-10,2015-12-02,2012,1,E-Commerce,1
1000000.0,operating,USA,San Francisco,2,2013-10-01,2014-03-01,2012,1,Mobile,0
2000000.0,operating,USA,Emeryville,1,2014-03-24,2014-03-24,2009,1,Biotechnology,1
93808.0,operating,CAN,Bridgewater,1,2014-07-01,2014-07-01,2014,1,Business Services,0
37500.0,operating,USA,Austin,1,2010-10-19,2010-10-19,2012,1,Internet,0
25000.0,operating,USA,Colorado Springs,1,2011-11-01,2011-11-01,2010,1,Software,0
50000.0,operating,USA,San Francisco,1,2015-02-01,2015-02-01,2015,1,Robotics,0
,operating,USA,San Francisco,1,2014-05-03,2014-05-03,2010,1,Email,3
50000.0,operating,SGP,Singapore,1,2010-01-01,2010-01-01,2011,1,Curated Web,0
,operating,USA,San Francisco,1,2012-10-09,2012-10-09,2012,1,Software,3
79000000.0,ipo,USA,Sunnyvale,5,2003-10-14,2008-02-26,2002,2,Enterprise Software,1
300000000.0,operating,IND,Chennai,1,2008-02-01,2008-02-01,2012,1,Mobile,2
37570000.0,operating,FIN,Espoo,4,2004-09-22,2011-05-18,2000,1,Semiconductors,1
3000000.0,operating,USA,New York,1,2014-05-19,2014-05-19,2006,1,Information Technology,1
100000.0,closed,RUS,Moscow,1,2012-02-10,2012-02-10,2012,0,Email,0
120000000.0,operating,CAN,Calgary,1,2013-10-04,2013-10-04,2008,1,Clean Technology,2
6000000.0,acquired,USA,San Francisco,1,2011-09-15,2011-09-15,2008,2,Advertising,1
22300000.0,operating,USA,New York,3,2011-01-01,2014-04-28,2010,1,Software,1
34722866.0,ipo,USA,Austin,2,2007-09-13,2012-05-08,2004,2,Health and Wellness,1
1674801.38667086,operating,DNK,Copenhagen,2,2014-08-26,2015-11-11,2014,1,Health Care,1
21214500.0,operating,BRA,Itá,1,2011-08-11,2011-08-11,2012,1,Manufacturing,1
75000.0,operating,USA,Santa Monica,1,2013-07-31,2013-07-31,2013,1,E-Commerce,0
,operating,USA,San Francisco,1,2014-11-17,2014-11-17,2012,1,Software,3
20000.0,operating,USA,San Francisco,2,2014-01-15,2014-11-15,2013,1,Collaboration,0
266000000.0,operating,NLD,Amsterdam,3,2011-08-22,2015-09-30,2006,1,Payments,2
4575400.0,acquired,USA,Bethel Park,2,2013-02-21,2014-04-15,2012,2,Security,1
2925000.0,operating,USA,Portland,3,2013-03-11,2015-10-27,2011,1,Fashion,1
50000.0,operating,USA,Cincinnati,1,2014-05-01,2014-05-01,2012,1,SaaS,0
30000.0,operating,POL,Warszawa,1,2014-12-24,2014-12-24,2014,1,Fitness,0
5000000.0,closed,USA,San Francisco,1,2008-01-23,2008-01-23,2004,0,Advertising,1
14732412.0,operating,USA,Morristown,3,2013-02-08,2015-04-15,2011,1,Biotechnology,1
1500000.0,operating,LBN,Beirut,1,2014-12-07,2014-12-07,2011,1,Advertising,1
2401536.0,acquired,USA,Boulder,3,2010-12-01,2012-01-09,2009,2,Collaboration,1
1100000.0,closed,HUN,Budapest,3,2007-09-01,2010-05-25,2007,0,Search,1
716666.0,operating,USA,Minneapolis,2,2012-08-09,2012-10-25,2012,1,Biotechnology,0
60000.0,operating,IND,Goa,3,2013-08-01,2014-04-04,2012,1,E-Commerce,0
,operating,DEU,Martinsried,1,2015-07-22,2015-07-22,2003,1,Biotechnology,3
2378808.0,operating,USA,San Francisco,1,2015-01-29,2015-01-29,2012,1,Ad Targeting,1
,operating,GBR,Cambridge,1,2015-10-01,2015-10-01,2013,1,Software,3
2445000.0,operating,USA,Oakland,2,2012-01-01,2014-02-03,2012,1,Application Platforms,1
170000.0,operating,USA,San Francisco,2,2014-12-01,2015-04-01,2015,1,Software,0
435413.0,operating,GBR,London,1,2009-01-05,2009-01-05,2009,1,Algorithms,0
2250000.0,operating,GBR,London,2,2014-12-01,2015-11-12,2014,1,Information Services,1
20500000.0,operating,LVA,Riga,5,2012-06-01,2015-01-10,2011,1,Big Data,1
750000.0,closed,USA,Del Mar,1,2015-03-08,2015-03-08,2015,0,Clean Energy,0
25000.0,closed,USA,North Miami Beach,1,2013-03-01,2013-03-01,2010,0,Legal,0
,operating,SGP,Singapore,1,2014-03-28,2014-03-28,2013,1,Education,3
150000.0,ipo,USA,Hamden,1,2009-05-19,2009-05-19,1986,2,Hardware + Software,0
6000000.0,closed,USA,San Francisco,1,2015-11-09,2015-11-09,2014,0,Software,1
51954587.0,acquired,USA,Morrisville,6,2009-04-09,2014-11-13,2005,2,Health Care,1
,acquired,USA,Santa Clara,1,1991-09-30,1991-09-30,1987,2,Security,3
46543600.0,operating,USA,Kalamazoo,4,2010-10-24,2015-09-25,2012,1,Biotechnology,1
,acquired,USA,Venice,1,2010-05-15,2010-05-15,2010,2,Ad Targeting,3
161500000.0,operating,USA,Mill Valley,6,2008-03-27,2015-01-06,2007,1,Career Management,2
8500000.0,operating,USA,Maple Grove,1,2007-12-10,2007-12-10,2012,1,Manufacturing,1
30000.0,operating,USA,San Francisco,1,2015-05-25,2015-05-25,2014,1,Cloud Security,0
10028500.0,operating,USA,San Francisco,11,2010-07-26,2015-08-13,2010,1,Analytics,1
4500000.0,closed,USA,Austin,1,2008-07-10,2008-07-10,2012,0,Games,1
12273.0,operating,USA,San Francisco,1,2012-08-01,2012-08-01,2012,1,Game,0
1050000.0,operating,USA,Palo Alto,2,2012-10-01,2013-07-09,2012,1,Android,1
300000.0,operating,USA,Bel Air,1,2012-03-01,2012-03-01,2012,1,Health and Wellness,0
600000.0,operating,JPN,Tokyo,2,2014-08-28,2014-09-19,2009,1,Information Technology,0
300000.0,operating,CHN,Hangzhou,1,2013-12-01,2013-12-01,2012,1,Manufacturing,0
116900000.0,operating,DNK,Copenhagen,5,2011-01-28,2015-05-28,2007,1,Curated Web,2
,operating,USA,San Francisco,1,2012-08-01,2012-08-01,2012,1,Curated Web,3
65864387.0,operating,GBR,Cambridge,5,2006-04-04,2015-04-30,2012,1,Hardware + Software,1
5000000.0,operating,USA,Dallas,1,2011-09-20,2011-09-20,2008,1,Hospitality,1
,closed,USA,San Francisco,1,1999-12-02,1999-12-02,2012,0,Software,3
950000.0,operating,USA,Elyria,2,2006-12-01,2007-03-01,2012,1,Software,0
99661.1520829181,operating,HUN,San Francisco,1,2014-12-01,2014-12-01,2014,1,Bitcoin,0
65000.0,operating,CHL,Santiago,2,2011-12-16,2012-03-01,2012,1,Curated Web,0
5000000.0,operating,GBR,London,1,2011-10-25,2011-10-25,1999,1,Games,1
86928000.0,operating,FRA,Paris,1,2011-07-02,2011-07-02,2012,1,E-Commerce,1
7200000.0,operating,CAN,Montréal,2,2015-03-12,2015-09-21,2012,1,Biotechnology,1
925249.0,operating,USA,Coal Township,1,2015-05-04,2015-05-04,2000,1,Software,0
20000000.0,ipo,AUS,San Francisco,1,2014-11-03,2014-11-03,2012,2,Clean Technology,1
55000.0,operating,USA,Portland,1,2011-01-14,2011-01-14,2010,1,Software,0
4246029.0,operating,USA,San Francisco,4,2010-09-01,2014-07-22,2007,1,Data Security,1
22585000.0,acquired,DEU,Gemünden,2,2009-11-20,2011-02-16,2004,2,Biotechnology,1
1000000.0,operating,CAN,Montréal,1,2015-04-01,2015-04-01,2014,1,B2B,0
11500000.0,operating,IND,Mumbai,1,2013-03-08,2013-03-08,2001,1,E-Commerce,1
680000.0,operating,USA,Washington,1,2014-07-14,2014-07-14,2010,1,Transportation,0
25000000.0,operating,USA,Brooklyn,1,2015-10-25,2015-10-25,2013,1,Film,1
37400000.0,operating,USA,Encinitas,3,2010-09-14,2014-09-09,2007,1,Biotechnology,1
3600000.0,operating,CHE,Zürich,1,2011-08-18,2011-08-18,2003,1,Assisitive Technology,1
68396.0,operating,GBR,Sittingbourne,1,2013-04-22,2013-04-22,2013,1,Curated Web,0
2440000.0,operating,GBR,London,2,2014-10-01,2015-09-10,2014,1,Big Data,1
2300000.0,closed,USA,San Mateo,1,2010-03-26,2010-03-26,2007,0,Games,1
,operating,USA,Los Angeles,1,2015-04-01,2015-04-01,2015,1,Software,3
24158698.0,operating,USA,Redwood City,5,2010-08-30,2015-09-01,2009,1,Android,1
600000.0,operating,IND,New Delhi,1,2015-09-17,2015-09-17,2012,1,Food Processing,0
,operating,NLD,San Francisco,1,2013-01-01,2013-01-01,2012,1,Software,3
64396675.0,acquired,USA,San Francisco,5,2011-11-23,2014-12-02,2011,2,Fitness,1
3039567.0,operating,USA,Columbia,7,2005-01-01,2015-08-05,1996,1,Software,1
400000.0,operating,USA,Washington,1,2014-07-18,2014-07-18,2013,1,Enterprise Software,0
465326.0,operating,USA,Santa Monica,1,2009-07-16,2009-07-16,2012,1,Business Services,0
4000000.0,operating,GBR,Bedford,1,2010-01-26,2010-01-26,2012,1,Biotechnology,1
1300000.0,operating,FRA,Paris,1,2005-02-22,2005-02-22,2012,1,Games,1
800000.0,operating,USA,Palo Alto,2,2014-04-11,2014-09-01,2012,1,Artificial Intelligence,0
725000.0,operating,USA,Denver,2,2014-11-24,2015-04-09,2012,1,Consumer Internet,0
73000.0,operating,USA,Los Angeles,1,2014-11-17,2014-11-17,2014,1,SaaS,0
1000000.0,operating,CZE,Prague,1,2013-01-01,2013-01-01,2015,1,Business Intelligence,0
1300000.0,operating,CHN,Shanghai,3,2011-09-07,2013-11-01,2010,1,E-Commerce,1
2150000.0,operating,USA,New York,2,2013-08-28,2014-12-22,2013,1,Advertising,1
,operating,GBR,Royal Wootton Bassett,2,2011-09-01,2013-12-20,2008,1,Internet of Things,3
20000000.0,operating,NGA,Lagos,1,2015-08-11,2015-08-11,2012,1,Technology,1
5180000.0,operating,USA,Seattle,3,2012-12-16,2014-10-08,2011,1,Cloud Management,1
14394888.0,operating,GBR,San Francisco,1,2014-01-13,2014-01-13,2012,1,Curated Web,1
,acquired,USA,East Northport,1,2001-03-30,2001-03-30,1995,2,Email,3
40000.0,operating,USA,San Francisco,1,2015-01-05,2015-01-05,2014,1,Collaboration,0
5930000.0,operating,FRA,Issy-les-moulineaux,2,2005-04-06,2007-04-05,2008,1,Software,1
,operating,USA,Newport Beach,1,2015-07-27,2015-07-27,2014,1,Fertility,3
470000.0,operating,GBR,London,1,2011-05-23,2011-05-23,2015,1,Employment,0
78950000.0,operating,USA,Los Altos,4,2014-01-14,2014-12-30,2013,1,Automotive,1
97000.0,operating,USA,Greensboro,1,2015-08-11,2015-08-11,1953,1,Health Care,0
7112900.0,operating,USA,Sandy,3,2014-03-05,2015-08-10,2011,1,Analytics,1
323834120.0,ipo,USA,New York,6,2001-01-01,2008-01-02,2001,2,Ad Targeting,2
18000.0,operating,NZL,Auckland,1,2013-03-01,2013-03-01,2012,1,Software,0
475000.0,operating,USA,Boulder,1,2009-04-14,2009-04-14,2004,1,Manufacturing,0
4817324.0,operating,USA,San Diego,2,2011-08-31,2014-02-26,2010,1,Advertising,1
213000.0,closed,USA,San Francisco,1,1992-04-01,1992-04-01,2012,0,Software,0
24000000.0,operating,CHN,Beijing,1,2006-08-03,2006-08-03,2012,1,Finance,1
,operating,USA,Fairfield,1,2015-04-21,2015-04-21,2012,1,Customer Service,3
695000.0,operating,USA,Raleigh,1,2014-02-25,2014-02-25,2010,1,Biotechnology,0
