name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
Esoko Networks,1500000.0,MUS,Ebène,1,2014-05-27,2014-05-27,2006,1,Agriculture,1
PlanSource Holdings,94000000.0,USA,Orlando,4,2012-02-01,2015-08-21,2002,1,Software,1
Veteran Ventures Angel Network,,USA,San Francisco,1,2015-03-23,2015-03-23,2012,1,Finance,3
Hability,25000.0,USA,Pittsburgh,2,2013-06-04,2015-04-01,2011,1,Health and Wellness,0
Blink,5800000.0,USA,Boston,1,2015-11-16,2015-11-16,2012,1,Electronics,1
Bridgestream,15000000.0,USA,Redwood Shores,3,2004-02-17,2006-04-05,2000,2,Software,1
AMP Robotics,248250.0,USA,Boulder,2,2015-01-01,2015-05-14,2015,0,Information Technology,0
Fluxedo,68839.0,ITA,Lomazzo,1,2014-01-01,2014-01-01,2014,1,Incubators,0
Bellmetric,,DNK,Copenhagen,1,2013-11-29,2013-11-29,2012,1,Software,3
Swoopo,14000000.0,USA,Mountain View,2,2006-01-01,2009-04-02,2012,0,Auctions,1
LiveVox,12100000.0,USA,San Francisco,2,2007-06-19,2008-01-28,1999,1,Web Hosting,1
Xtium,15500000.0,USA,King Of Prussia,3,2011-09-23,2013-10-09,2004,1,Cloud Management,1
PiAuto,250000.0,USA,Albuquerque,1,2011-09-01,2011-09-01,2011,0,Automotive,0
dooub,887303.0,KOR,Seoul,1,2012-01-26,2012-01-26,2011,1,Android,0
ParLevel Systems,5906514.0,USA,San Antonio,7,2012-10-10,2015-11-23,2012,1,B2B,1
Promotion In Motion,3000000.0,USA,Allendale,1,2008-03-28,2008-03-28,1979,1,Food Processing,1
Offset Options,,ESP,Barcelona,1,2010-09-16,2010-09-16,2012,1,Carbon,3
SynapCell,4430000.0,FRA,Grenoble,1,2009-03-06,2009-03-06,2005,1,Biotechnology,1
SOLEM Electronique,5460000.0,FRA,Clapiers,1,2008-12-02,2008-12-02,1984,1,Hardware + Software,1
